imps,rev,day,country,ad_type,brand,subset
301089.2944,13013.31005,10/29/2018,United States,SPONSORSHIP,brand10,desktop
245737.0658,78.93882828,10/30/2018,United States,STANDARD,brand10,phone
175283.8452,1746.622871,11/3/2018,United States,STANDARD,brand10,phone
148176.1618,520.8984276,11/1/2018,United States,STANDARD,brand10,phone
139241.9367,6174.096294,10/31/2018,United States,SPONSORSHIP,brand10,phone
132717.6056,653.7152091,11/4/2018,United States,STANDARD,brand10,phone
131116.2595,1309.878429,11/2/2018,United States,STANDARD,brand10,phone
119511.0411,3551.295527,10/30/2018,United States,STANDARD,brand10,desktop
100397.0171,1033.979788,11/3/2018,United States,SPONSORSHIP,brand10,desktop
88891.53686,231.9787038,10/31/2018,United States,SPONSORSHIP,brand10,desktop
84180.21399,1269.331971,10/30/2018,United States,SPONSORSHIP,brand10,desktop
73742.698,5576.366347,10/29/2018,United States,SPONSORSHIP,brand10,phone
70604.84313,1063.130373,11/2/2018,United States,SPONSORSHIP,brand10,desktop
58020.45655,1537.551665,11/1/2018,United States,SPONSORSHIP,brand10,desktop
53979.02283,1456.869493,11/4/2018,United States,STANDARD,brand10,desktop
51081.20629,9.425640545,10/30/2018,International,STANDARD,brand10,phone
35432.62399,11.56701588,11/4/2018,International,STANDARD,brand10,desktop
35032.18955,1884.993792,11/3/2018,United States,STANDARD,brand10,desktop
31884.84685,2070.300225,11/1/2018,United States,STANDARD,brand10,desktop
30417.61902,161.4208263,11/4/2018,United States,SPONSORSHIP,brand10,desktop
28224.7563,2.15162783,10/29/2018,International,STANDARD,brand10,desktop
27485.48254,70.39118467,11/4/2018,United States,adx,brand10,phone
27349.73405,12.41128237,11/4/2018,International,adx,brand10,phone
25580.84689,5.590980582,11/2/2018,International,adx,brand10,phone
23679.02236,24.5500284,10/30/2018,International,STANDARD,brand10,desktop
23028.78235,0.421254687,10/31/2018,International,STANDARD,brand10,phone
22819.27715,0.098731455,11/3/2018,International,adx,brand10,phone
22516.08527,16.00819259,11/2/2018,International,STANDARD,brand10,phone
22489.54062,29.86261308,10/29/2018,International,adx,brand10,desktop
21231.1464,11.95014988,11/1/2018,International,STANDARD,brand10,desktop
19610.85689,9.358606199,11/3/2018,International,STANDARD,brand10,desktop
18985.74205,35.94051964,10/30/2018,International,adx,brand10,phone
18099.22331,9.280396274,10/29/2018,International,STANDARD,brand10,phone
17582.00474,16.44326065,11/2/2018,International,adx,brand10,desktop
14302.20396,17.95639529,11/1/2018,International,adx,brand10,phone
12802.99769,12.18784242,11/1/2018,International,STANDARD,brand10,phone
11916.64149,53.01585296,10/29/2018,United States,STANDARD,brand10,phone
10555.96923,21.65173567,11/2/2018,International,STANDARD,brand10,desktop
10234.40177,9.119530413,10/29/2018,International,adx,brand10,phone
10066.80344,15.62135031,11/1/2018,International,adx,brand10,desktop
8945.497648,28.83231656,11/3/2018,United States,adx,brand10,desktop
8468.392101,26.86009677,11/2/2018,United States,adx,brand10,phone
8467.359378,5.039555067,11/4/2018,International,STANDARD,brand10,phone
6834.447482,286.9533544,11/2/2018,United States,SPONSORSHIP,brand10,phone
6038.541757,19.00212256,11/3/2018,United States,SPONSORSHIP,brand10,phone
6013.141534,1.947222104,11/4/2018,International,PRICE_PRIORITY,brand10,desktop
5729.347514,17.95358291,11/4/2018,International,adx,brand10,desktop
5676.268485,60.41537738,10/31/2018,United States,STANDARD,brand10,phone
5627.475052,4.239863805,10/29/2018,International,PRICE_PRIORITY,brand10,desktop
4821.174837,24.85521675,10/31/2018,International,adx,brand10,desktop
4700.556444,14.07218977,11/3/2018,International,STANDARD,brand10,phone
4515.299392,56.83921492,11/3/2018,United States,adx,brand10,phone
3741.21587,5.169891059,10/30/2018,United States,adx,brand10,phone
3359.10269,12.82852821,11/4/2018,United States,PRICE_PRIORITY,brand10,desktop
3304.65751,4.900313654,10/31/2018,International,STANDARD,brand10,desktop
3069.882749,6.327005164,10/30/2018,International,PRICE_PRIORITY,brand10,desktop
2996.284289,60.53821432,10/30/2018,United States,adx,brand10,desktop
2878.749827,238.4422305,11/4/2018,United States,SPONSORSHIP,brand10,phone
2719.079956,2.437987377,11/1/2018,International,PRICE_PRIORITY,brand10,desktop
2671.260758,5.282573919,10/31/2018,International,adx,brand10,phone
2591.814031,24.75614804,11/4/2018,United States,PRICE_PRIORITY,brand10,phone
2565.311397,11.82844774,11/1/2018,United States,adx,brand10,phone
2370.866829,5.608741433,11/1/2018,United States,adx,brand10,desktop
2361.491013,0,10/31/2018,International,HOUSE,brand10,phone
1899.235413,37.92676119,11/4/2018,United States,PREFERRED_DEAL,brand10,phone
1826.887933,0.146881507,11/3/2018,United States,PRICE_PRIORITY,brand10,phone
1744.872208,0,11/1/2018,International,HOUSE,brand10,phone
1734.576381,22.73044991,11/2/2018,United States,adx,brand10,desktop
1675.141442,5.562469514,11/3/2018,International,adx,brand10,desktop
1665.864303,6.835328755,10/31/2018,International,PRICE_PRIORITY,brand10,desktop
1651.534804,0,10/30/2018,International,HOUSE,brand10,phone
1618.555951,4.356288806,11/4/2018,United States,adx,brand10,desktop
1544.309192,265.1423363,10/30/2018,United States,SPONSORSHIP,brand10,phone
1449.05439,35.34730111,10/29/2018,United States,STANDARD,brand10,desktop
1442.811612,0,11/1/2018,International,HOUSE,brand10,desktop
1331.280494,23.46232911,10/30/2018,International,adx,brand10,desktop
1257.803779,312.1525278,11/2/2018,United States,STANDARD,brand10,desktop
973.8091814,7.046560678,11/4/2018,United States,PREFERRED_DEAL,brand10,desktop
908.1951694,1.65253951,11/2/2018,International,PRICE_PRIORITY,brand10,desktop
903.8340881,253.8831558,11/1/2018,United States,SPONSORSHIP,brand10,phone
892.3270946,6.568542583,11/3/2018,United States,PREFERRED_DEAL,brand10,phone
828.003246,0,10/29/2018,International,HOUSE,brand10,desktop
724.0515846,0,11/3/2018,International,HOUSE,brand10,desktop
706.3273032,0,10/31/2018,International,HOUSE,brand10,desktop
690.7002292,1.705731172,11/3/2018,International,PRICE_PRIORITY,brand10,phone
